sr no. ,Distric,state,latitude,longitude,zones
556,Kanchipuram,TAMIL NADU,,,red
557,Theni,TAMIL NADU,,,orange
558,Tenkasi,TAMIL NADU,,,orange
559,Nagapattinam,TAMIL NADU,,,orange
560,Dindigul,TAMIL NADU,,,orange
561,Villupuram,TAMIL NADU,,,orange
562,Coimbatore,TAMIL NADU,,,orange
563,Cuddalore,TAMIL NADU,,,orange
564,Salem,TAMIL NADU,,,orange
565,Karur,TAMIL NADU,,,orange
566,Thoothukudi (Tuticorin),TAMIL NADU,,,orange
567,Tiruchirappalli (Trichy),TAMIL NADU,,,orange
568,Tirupathur,TAMIL NADU,,,orange
569,Kanyakumari,TAMIL NADU,,,orange
570,Tiruvannamalai,TAMIL NADU,,,orange
571,Ramanathapuram,TAMIL NADU,,,orange
572,Tirunelveli,TAMIL NADU,,,orange
573,The Nilgiris,TAMIL NADU,,,orange
574,Sivaganga,TAMIL NADU,,,orange
575,Perambalur,TAMIL NADU,,,orange
576,Kallakurichi,TAMIL NADU,,,orange
577,Ariyalur,TAMIL NADU,,,orange
578,Erode,TAMIL NADU,,,orange
579,Pudukkottai,TAMIL NADU,,,orange
580,Dharmapuri,TAMIL NADU,,,orange
581,Krishnagiri,TAMIL NADU,,,green
582,Hyderabad,TELANGANA,,,red
583,Suryapet,TELANGANA,,,red
584,Ranga Reddy,TELANGANA,,,red
585,Medchal Malkajgiri,TELANGANA,,,red
586,Vikarabad,TELANGANA,,,red
587,Warangal Urban,TELANGANA,,,red
588,Nizamabad,TELANGANA,,,orange
589,Jogulamba Gadwal,TELANGANA,,,orange
590,Nirmal,TELANGANA,,,orange
591,Nalgonda,TELANGANA,,,orange
592,Adilabad,TELANGANA,,,orange
593,Sangareddy,TELANGANA,,,orange
594,Kamareddy,TELANGANA,,,orange
595,Komaram Bheem Asifabad,TELANGANA,,,orange
596,Karimnagar,TELANGANA,,,orange
597,Khammam,TELANGANA,,,orange
598,Mahabubnagar,TELANGANA,,,orange
599,Jagitial,TELANGANA,,,orange
600,Rajanna Sircilla,TELANGANA,,,orange
601,Jayashankar Bhupalpally,TELANGANA,,,orange
602,Medak,TELANGANA,,,orange
603,Jangoan,TELANGANA,,,orange
604,Narayanpet,TELANGANA,,,orange
605,Mancherial,TELANGANA,,,orange
606,Peddapalli,TELANGANA,,,green
607,Nagarkurnool,TELANGANA,,,green
608,Mulugu,TELANGANA,,,green
609,Bhadradri Kothagudem,TELANGANA,,,green
610,Mahabubabad,TELANGANA,,,green
611,Siddipet,TELANGANA,,,green
612,Warangal Rural,TELANGANA,,,green
613,Wanaparthy,TELANGANA,,,green
614,Yadadri Bhuvanagiri,TELANGANA,,,green
615,North Tripura,TRIPURA,,,orange
616,Gomati,TRIPURA,,,orange
617,Dhalai,TRIPURA,,,green
618,South Tripura,TRIPURA,,,green
619,West Tripura,TRIPURA,,,green
620,Khowai,TRIPURA,,,green
621,Sepahijala,TRIPURA,,,green
622,Unakoti,TRIPURA,,,green
623,Agra,UTTAR PRADESH,,,red
624,Lucknow,UTTAR PRADESH,,,red
625,Saharanpur,UTTAR PRADESH,,,red
626,Kanpur Nagar,UTTAR PRADESH,,,red
627,Moradabad,UTTAR PRADESH,,,red
628,Firozabad,UTTAR PRADESH,,,red
629,Gautam Buddh Nagar (Noida and Greater Noida),UTTAR PRADESH,,,red
630,Bulandshahr,UTTAR PRADESH,,,red
631,Meerut,UTTAR PRADESH,,,red
632,Raebareli,UTTAR PRADESH,,,red
633,Varanasi (Banaras),UTTAR PRADESH,,,red
634,Bijnor,UTTAR PRADESH,,,red
635,Amroha,UTTAR PRADESH,,,red
